date,region,product,category,sales,quantity,customer_segment
2024-01-05,East,Laptop,Electronics,12000,8,Enterprise
2024-01-12,West,Phone,Electronics,8000,10,SMB
2024-01-18,North,Chair,Furniture,3000,15,Consumer
2024-01-22,East,Table,Furniture,5000,5,Enterprise
2024-01-28,West,Laptop,Electronics,10000,7,SMB
2024-02-03,South,Phone,Electronics,7500,9,Consumer
2024-02-11,East,Monitor,Electronics,9000,6,Enterprise
2024-02-19,North,Desk,Furniture,4500,3,SMB
2024-02-25,West,Chair,Furniture,2800,14,Consumer
2024-03-02,South,Table,Furniture,6200,6,Enterprise
2024-03-10,East,Phone,Electronics,8500,11,SMB
2024-03-18,West,Monitor,Electronics,11000,8,Consumer
2024-03-25,North,Laptop,Electronics,9500,6,Enterprise
2024-04-01,South,Desk,Furniture,3800,4,SMB
2024-04-09,East,Chair,Furniture,3200,16,Consumer
2024-04-15,West,Laptop,Electronics,13000,9,Enterprise
2024-04-22,North,Phone,Electronics,7200,8,SMB
2024-04-30,South,Monitor,Electronics,8200,5,Consumer
2024-05-07,East,Table,Furniture,5800,7,Enterprise
2024-05-14,West,Chair,Furniture,3500,12,SMB